date_purchase_id,date_purchase
277,2019-12-01
652,2021-03-26
1406,2023-10-30
630,2021-02-25
73,2019-04-01
870,2021-12-28
802,2021-09-27
102,2019-05-04
800,2021-09-25
1261,2023-05-06
745,2021-07-22
770,2021-08-21
728,2021-06-29
838,2021-11-13
972,2022-05-07
1314,2023-07-13
66,2019-03-24
374,2020-04-08
635,2021-03-03
546,2020-11-22
797,2021-09-21
871,2021-12-29
262,2019-11-13
686,2021-05-07
508,2020-10-05
1200,2023-02-15
572,2020-12-20
899,2022-02-07
963,2022-04-28
1472,2024-01-16
514,2020-10-12
1254,2023-04-22
488,2020-09-12
92,2019-04-24
1234,2023-03-29
557,2020-12-04
1389,2023-10-11
1243,2023-04-07
1034,2022-07-28
1442,2023-12-10
366,2020-03-27
1402,2023-10-26
266,2019-11-18
819,2021-10-17
1416,2023-11-09
1290,2023-06-09
778,2021-08-30
1206,2023-02-21
945,2022-04-05
490,2020-09-14
127,2019-06-02
124,2019-05-27
825,2021-10-28
506,2020-10-01
701,2021-05-27
807,2021-10-02
781,2021-09-03
1081,2022-09-26
1310,2023-07-06
978,2022-05-14
763,2021-08-14
865,2021-12-21
1151,2022-12-18
68,2019-03-27
346,2020-02-24
712,2021-06-09
637,2021-03-05
1475,2024-01-20
886,2022-01-20
809,2021-10-04
451,2020-07-19
294,2019-12-22
108,2019-05-11
588,2021-01-08
624,2021-02-19
442,2020-07-08
860,2021-12-11
1118,2022-11-10
573,2020-12-21
844,2021-11-23
936,2022-03-26
87,2019-04-18
1073,2022-09-16
260,2019-11-09
1207,2023-02-22
692,2021-05-18
839,2021-11-14
178,2019-08-03
1295,2023-06-19
67,2019-03-25
90,2019-04-22
931,2022-03-20
562,2020-12-10
1076,2022-09-21
501,2020-09-25
339,2020-02-13
509,2020-10-07
1272,2023-05-19
154,2019-07-05
688,2021-05-10
1331,2023-08-03
299,2019-12-29
1351,2023-08-25
1120,2022-11-14
1152,2022-12-19
510,2020-10-08
574,2020-12-23
849,2021-11-28
209,2019-09-08
331,2020-02-02
1340,2023-08-14
856,2021-12-06
1273,2023-05-20
69,2019-03-28
1119,2022-11-13
77,2019-04-05
742,2021-07-18
817,2021-10-14
381,2020-04-19
538,2020-11-14
